Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
1,570266569;-0,474000007;0,181999996;-0,456999987;0,683117116
1,575299799;-0,529999971;0,02;-0,300000012;0,60934389
1,580333073;-0,566999972;-0,142000005;-0,097999997;0,592669359
1,585366304;-0,663999975;-0,330000013;0,057999998;0,743747252
1,590399752;-0,654999971;-0,527999997;0,107000001;0,848090773
1,595432982;-0,736000001;-0,612999976;0,230000004;0,98507105
1,600466198;-0,889999986;-0,819999993;0,231999993;1,232202889
1,605499429;-0,913999975;-0,904999971;0,280999988;1,31657962
1,610532728;-1,116999984;-1,057999969;0,360000014;1,580080032
1,615565958;-1,156999946;-1,067000031;0,384000003;1,620059858
1,620599429;-1,345999956;-1,269999981;0,158999994;1,85738979
1,62563266;-1,396999955;-1,235000014;0,093000002;1,866944806
1,63066589;-1,514999986;-1,246000051;0,056000002;1,962365176
1,635699198;-1,616000056;-1,31099999;-0,261000007;2,097211996
1,640732429;-1,656000018;-1,23300004;-0,578999996;2,144263546
1,645765895;-1,690999985;-1,164999962;-0,791000009;2,200542404
1,650799126;-1,692000031;-1,161000013;-0,943000019;2,258325524
1,655832404;-1,779999971;-1,110000014;-1,090000033;2,364021997
1,660865635;-1,672999978;-1,026000023;-1,18599999;2,293076743
1,665898866;-1,700000048;-1,019999981;-1,281999946;2,360915921
1,670932159;-1,748999953;-1,023000002;-1,373000026;2,447582258
1,67596539;-1,748000026;-0,984000027;-1,381999969;2,435915446
1,680998851;-1,725999951;-0,876999974;-1,282999992;2,322561897
1,686032081;-1,562999964;-0,871999979;-1,157999992;2,13174033
1,691065389;-1,583999991;-0,83099997;-1,046000004;2,07213246
1,69609862;-1,57099998;-0,873000026;-0,875999987;1,999386396
1,701131885;-1,523000002;-0,800999999;-0,699000001;1,85734515
1,706165346;-1,399000049;-0,810000002;-0,460999995;1,681018184
1,711198346;-1,370000005;-0,685000002;-0,328000009;1,56643194
1,716231808;-1,358999968;-0,731000006;-0,223000005;1,559157119
1,721265073;-1,31099999;-0,722000003;-0,025;1,4968734
1,72629838;-1,210000038;-0,73299998;0,052999999;1,415697024
1,731331611;-1,179999948;-0,683000028;0,056000002;1,364560338
1,736364842;-1,245000005;-0,691999972;0,045000002;1,42510139
1,741398317;-1,161000013;-0,583999991;0,211999997;1,316784348
1,746431548;-1,121999979;-0,550000012;0,252999991;1,274909001
1,751464904;-1,167999983;-0,561999977;0,228;1,316074441
1,756498058;-1,072000027;-0,51700002;0,125;1,196703003
1,761531379;-0,957000017;-0,556999981;0,052999999;1,108560784
1,76656461;-0,977999985;-0,441000015;0,064999998;1,074797648
1,771597846;-0,991999984;-0,328999996;-0,046;1,046145767
1,776631308;-0,953999996;-0,307999998;-0,133000001;1,011270979
1,781664543;-0,80400002;-0,182999998;-0,059;0,826671659
1,786697851;-0,852999985;-0,156000003;-0,145999998;0,879352589
1,791731077;-0,823000014;-0,078000002;-0,270999998;0,869973575
1,796764538;-0,825999975;0,001;-0,097999997;0,83179382
1,801797779;-0,838;-0,009;-0,136000007;0,849011779
1,806831087;-0,846000016;0,07;-0,090999998;0,853754664
1,811864255;-0,764999986;0,079000004;-0,208000004;0,796699429
1,816897486;-0,745999992;0,005;-0,211999997;0,775554632
1,821930817;-0,739000022;0,090999998;-0,277999997;0,794786783
1,826964279;-0,675999999;0,035;-0,310000002;0,744513936
1,831997525;-0,583999991;0,052999999;-0,319999993;0,668030677
1,837030755;-0,575999975;-0,007;-0,414000005;0,709380698
1,842064101;-0,578999996;-0,067000002;-0,354999989;0,682462445
1,847097332;-0,593999982;-0,111000001;-0,379999995;0,713832596
1,852130788;-0,444999993;-0,140000001;-0,462000012;0,656558455
1,857164019;-0,374000013;-0,128000006;-0,36500001;0,53803812
1,862197255;-0,384000003;-0,046999998;-0,324999988;0,505262303
1,867230486;-0,216000006;-0,061000001;-0,279000014;0,358075426
1,872263812;-0,088;0,023;-0,277999997;0,292501279
1,877297043;-0,025;0,030999999;-0,130999997;0,136919682
1,882330269;0,021;0,093999997;-0,135000005;0,165837272
1,887363731;0,172000006;0,209999993;0,074000001;0,281353869
1,892396962;0,273000002;0,256999999;0,238999993;0,444633554
1,897430193;0,344999999;0,40200001;0,384000003;0,654282057
1,902463501;0,453000009;0,479999989;0,700999975;0,962813566
1,907496717;0,43900001;0,486000001;0,615999997;0,89909566
1,912529947;0,44600001;0,423999995;0,90200001;1,091923085
1,917563409;0,305999994;0,388000011;0,941999972;1,063740547
1,922596621;0,289999992;0,26699999;0,941999972;1,021152749
1,927629851;0,177000001;0,177000001;0,879999995;0,914908734
1,932663063;0,133000001;0,114;0,771000028;0,790649128
1,937696371;0,007;0,116999999;0,683000028;0,692984154
1,942729853;-0,050000001;-0,046;0,513000011;0,51747948
1,947763083;-0,059;-0,098999999;0,432000011;0,447108499
1,952796295;-0,048999999;-0,266000003;0,300999999;0,404670237
1,957829603;-0,134000003;-0,25;0,188999996;0,340847472
1,962862757;-0,028000001;-0,384000003;0,150000006;0,413206975
1,967896078;-0,057999998;-0,400999993;0,207000002;0,454987907
1,972929309;-0,006;-0,531000018;0,169;0,557277327
1,977962771;-0,018999999;-0,625;0,236000001;0,668342727
1,982995991;-0,035999998;-0,657999992;0,275000006;0,714062317
1,988029222;-0,003;-0,662999988;0,485000014;0,821463936
1,993062525;0,041999999;-0,670000017;0,601000011;0,901035535
1,998095756;0,128000006;-0,651000023;0,851999998;1,079856022
2,003128963;0,119999997;-0,550000012;1,097000003;1,233008118
2,008162424;0,123999998;-0,428000003;1,381999969;1,452061954
2,013195732;0,075000003;-0,363000005;1,562999964;1,6063508
2,018228877;0,178000003;-0,384000003;1,758999944;1,809204468
2,023262107;0,056000002;-0,296000004;1,907999992;1,931635569
2,028295371;0,178000003;-0,275999993;2,049999952;2,076140603
2,033328833;0,098999999;-0,246999994;1,998999953;2,016633534
2,038362063;0,083999999;-0,187000006;2,020999908;2,031370383
2,043395314;-0,028999999;-0,201000005;2,089999914;2,099843243
2,048428622;-0,057;-0,093999997;2,032000065;2,034971563
2,053462078;0,008;-0,082000002;1,705000043;1,706989498
2,058495078;-0,021;0,041999999;1,504999995;1,505732375
2,063528501;0,003;-0,017999999;1,360999942;1,361122273
2,068561732;0,033;0,093999997;1,231999993;1,236021433
2,073594934;0,143000007;0,077;1,08099997;1,093132626
2,078628164;0,270999998;0,027000001;1,057999969;1,092489786
2,083661439;0,340999991;0,024;1,131000042;1,181532094
2,08869467;0,379000008;0,056000002;1,251999974;1,309305519
2,09372815;0,522000015;-0,041000001;1,478999972;1,568950584
2,098761381;0,611999989;-0,201000005;1,753999949;1,868545104
2,103794674;0,693000019;-0,296000004;2,003999949;2,140999958
2,108827905;0,693000019;-0,504000008;2,352999926;2,504171257
2,113861135;0,708000004;-0,666000009;2,555999994;2,734585158
2,118894366;0,617999971;-0,785000026;2,703999996;2,882666298
2,123927597;0,584999979;-0,907000005;2,884000063;3,079339271
2,128961059;0,499000013;-1,087000012;2,891000032;3,128650065
2,133994328;0,388000011;-1,184000015;2,753999949;3,022733161
2,139027559;0,319999993;-1,30400002;2,733999968;3,04591068
2,144060848;0,136999995;-1,457999945;2,401000023;2,812353809
2,149094079;0,126000002;-1,514999986;2,059000015;2,559410483
2,154127544;-0,021;-1,472000003;1,710000038;2,256396494
2,159160775;-0,052000001;-1,555999994;1,325999975;2,045022229
2,164194064;-0,130999997;-1,524000049;1,059000015;1,860434944
2,169227294;-0,182999998;-1,491999984;0,672999978;1,646961421
2,174260477;-0,218999997;-1,39199996;0,287;1,438052116
2,179293708;-0,216999993;-1,292999983;-0,061000001;1,31250103
2,18432717;-0,092;-1,324000001;-0,268999994;1,354179087
2,189360414;-0,041000001;-1,281000018;-0,488999993;1,371773684
2,194393722;0,028999999;-1,289000034;-0,856000006;1,547610448
2,199426977;0,075999998;-1,172999978;-1,047999978;1,574804401
2,204460438;0,374000013;-1,164000034;-0,996999979;1,577587097
2,20949366;0,513000011;-1,17900002;-1,014000058;1,637499978
2,214526891;0,648999989;-1,080000043;-0,921999991;1,561308766
2,219560208;0,782000005;-1,190000057;-0,586000025;1,539811733
2,224593438;1,082000017;-1,07099998;-0,404000014;1,575113014
2,229626722;1,088000059;-1,174999952;-0,158000007;1,60914046
2,234659953;1,223999977;-1,166000009;0,108000003;1,69392915
2,239693425;1,256999969;-1,212000012;0,529999971;1,82479942
2,244726655;1,171000004;-1,345999956;0,728999972;1,927277315
2,249759915;1,207000017;-1,396999955;1,154999971;2,177724236
2,254793223;1,07099998;-1,506000042;1,294999957;2,256568628
2,259826439;0,985000014;-1,550999999;1,292000055;2,246127817
2,2648599;0,875;-1,722000003;1,315000057;2,336692997
2,2698929;0,75999999;-1,773000002;1,230999947;2,288337794
2,274926362;0,671000004;-1,871999979;1,157999992;2,301214659
2,279959717;0,602999985;-1,924000025;0,947000027;2,227598287
2,284992871;0,430999994;-1,835000038;0,707000017;2,013165458
2,290026149;0,312000006;-1,914000034;0,435000002;1,987451921
